rca_name,links,unnamed,pct_unnamed,km
Land Information New Zealand,75924,75556,99.5,45980
Auckland Transport,54161,33616,62.1,8122
Palmerston North City Council,16143,14871,92.1,1297
,14021,6328,45.1,3550
Waimakariri District Council,5723,5665,99.0,1618
Southland District Council,8177,5000,61.1,5007
Waka Kotahi NZ Transport Agency,20878,4555,21.8,12068
Hutt City Council,7826,4461,57.0,495
Selwyn District Council,5870,4274,72.8,2717
Tasman District Council,4661,4157,89.2,1795
Dunedin City Council,6523,3884,59.5,1843
Upper Hutt City Council,3484,3441,98.8,380
Tauranga City Council,5802,3111,53.6,666
Rangitikei District Council,3635,2951,81.2,1334
Queenstown-Lakes District Council,5361,2851,53.2,1221
Whangarei District Council,4877,2822,57.9,1782
Far North District Council,4924,2766,56.2,2605
Waipa District Council,2737,2737,100.0,1137
Clutha District Council,4579,2629,57.4,2977
Waikato District Council,5121,2579,50.4,2559
Hastings District Council,4124,2348,56.9,1719
Whakatane District Council,2329,2329,100.0,923
Thames-Coromandel District Council,3789,2270,59.9,748
New Plymouth District Council,3784,2211,58.4,1336
Tararua District Council,3703,2161,58.4,1958
Ashburton District Council,4452,1994,44.8,2644
Marlborough District Council,4311,1968,45.7,1590
Gisborne District Council,3652,1871,51.2,1954
Kapiti Coast District Council,3338,1802,54.0,462
Wellington City Council,5452,1751,32.1,784
Waitaki District Council,3158,1744,55.2,1808
Napier City Council,3007,1666,55.4,409
Manawatu District Council,2651,1660,62.6,1504
Horowhenua District Council,1886,1611,85.4,603
Timaru District Council,3196,1607,50.3,1738
Central Otago District Council,3179,1588,50.0,1951
South Waikato District Council,1499,1496,99.8,542
Western Bay of Plenty District Council,2424,1482,61.1,1091
Kaipara District Council,2969,1410,47.5,1672
Otorohanga District Council,1190,1190,100.0,810
Hauraki District Council,1649,1049,63.6,636
Invercargill City Council,2277,983,43.2,636
Wairoa District Council,1708,946,55.4,877
Department of Conservation,1038,922,88.8,1068
Central Hawke's Bay District Council,1787,912,51.0,1307
Buller District Council,1669,886,53.1,592
Mackenzie District Council,1112,784,70.5,751
Grey District Council,1525,751,49.2,611
Westland District Council,1354,723,53.4,727
Gore District Council,1773,697,39.3,854
Carterton District Council,651,651,100.0,453
Opotiki District Council,678,535,78.9,328
South Wairarapa District Council,870,417,47.9,671
Porirua City Council,2054,299,14.6,288
Kawerau District Council,286,286,100.0,45
Ruapehu District Council,2070,70,3.4,1356
Taupo District Council,2917,69,2.4,833
Nelson City Council,2487,67,2.7,325
Hamilton City Council,5273,54,1.0,742
Waimate District Council,1682,46,2.7,1334
Rotorua Lakes Council,3497,32,0.9,1064
South Taranaki District Council,2818,28,1.0,1625
Kaikoura District Council,489,25,5.1,214
Masterton District Council,1677,23,1.4,827
Whanganui District Council,2708,15,0.6,881
Hurunui District Council,2759,15,0.5,1604
Christchurch City Council,17,11,64.7,6
Waitomo District Council,1167,5,0.4,1002
Chatham Islands Council,166,2,1.2,181
Stratford District Council,1018,0,0.0,609
